dataset_name,platform,URL,license,commercial_use_status,participant_count,row_count,participant_id_available,age_available,sex_available,weight_available,exercise_available,sets_available,reps_available,load_available,duration_available,intensity_available,heart_rate_available,energy_expenditure_available,energy_expenditure_unit,measurement_method,indirect_calorimetry,multi_exercise,ground_truth_quality,recommended_role,reason,data_leakage_risk
calorie-burnt-15k,Hugging Face (mnemoraorg),https://huggingface.co/datasets/mnemoraorg/calorie-burnt-15k,ECL-2.0 (Eclipse Public License 2.0),"License permits it, but data quality disqualifies use","Not stated (User_ID field exists, count unconfirmed)","15,000",Yes (User_ID),Yes,Yes (Gender),Yes,"No (general 'exercise session', not resistance-specific)",No,No,No,Yes (minutes),No explicit tier,Yes,Yes,Calories per session (unit/method undocumented),Not stated - dataset card provides no specifics on how calorie burn was calculated or measured,No,No,EXCLUDE,Do not use,"Undocumented calorie methodology - exactly the no-specifics-provided EXCLUDE case, regardless of claimed real-human origin.",N/A (excluded)
fitness-tracker-dataset,Hugging Face (strova-ai),https://huggingface.co/datasets/strova-ai/fitness-tracker-dataset,MIT,Disqualified by data quality regardless of license,Not stated (synthetic - no real participants),Not confirmed this pass,Not confirmed,Yes,Yes,Yes,Yes (general activity: Lying/Walking/Running etc - not resistance-specific),No,No,No,Not detailed,"Yes (intensity_karvonen - formula-derived, not measured)",Yes,Yes,calories (formula-derived),"Explicitly stated: all entries are fully synthetic, generated with Syncora.ai's synthetic data engine",No,No,EXCLUDE,Do not use,Self-disclosed 100% synthetic data; also not resistance-training specific.,N/A (excluded)
SmartFitnessNutritionAnalyticsDataset,Hugging Face (Idankhen),https://huggingface.co/datasets/Idankhen/SmartFitnessNutritionAnalyticsDataset,Not confirmed this pass,Unresolved - resolve before any use,Not stated,"20,000",Not confirmed,Yes,Yes,Yes,Yes (55 named exercises + Target Muscle Group + Equipment),Yes,Yes,Not clearly confirmed,Yes (Session_Duration),"Partial (Workout_Type, Experience_Level)",Yes (Max/Avg/Resting BPM),Yes,Calories_Burned plus a separate per-30-min figure (derivation undocumented in available content),Not stated in inspected content,No,Not confirmed (fields suggest per-exercise rows),AUXILIARY,Reference only for exercise ontology (55 exercises x muscle group x equipment) - Calories_Burned column explicitly NOT to be treated as ground truth per the core rule,"Richest resistance-training feature set found on either platform (sets/reps/exercise/muscle group/equipment), but the calorie methodology is undocumented and license is unresolved - exactly the case the user's instruction warned against treating as ground truth by column-name alone.",Unknown - source/authorship not established
workout-routine,Hugging Face (Varick),https://huggingface.co/datasets/Varick/workout-routine,Not specified,Unresolved,1 (appears to be a single logged individual),30,No,No,No,"No (only session load, not body weight)",Yes (squat/bench/deadlift/pull-up - resistance-specific),Yes,Yes,Yes (kg),No,"Yes (RPE + Tempo, both self-reported/categorical)",No,No,N/A,Parsed from natural-language workout log text - no physiological measurement,No,Yes (multiple exercises represented),AUXILIARY,"Reference only - illustrates RPE/tempo-tagged logging format, far too small (n=30) for any modeling use","Real resistance-training-specific fields including RPE and tempo (directly relevant to the tempo problem flagged in V1), but no EE data and tiny sample.","None (unrelated, trivially small)"
Rustaden et al. 2020 (Frontiers in Physiology),"Journal article (academic, not Kaggle/HF)",https://doi.org/10.3389/fphys.2020.00570,CC BY 4.0,Paper text is CC BY; raw data availability separately gated (see below),"18 (10 BodyPump, 8 heavy-load)",0 currently in hand - aggregate group means only in the published text,"Not currently - raw data is available on request to the corresponding author, not publicly downloadable",Cohort mean only (36 +/- 10y),Yes - 100% women,Cohort mean only (84 +/- 14kg),"Yes - 12 named exercises (squat, lunges, stiff-legged deadlift, forward rowing, bench press, dips, shoulder press, lateral raise, clean and press, overhead triceps press, biceps curl, sit-ups)",Yes (2-4 sets),Yes (8RM),Yes (8RM load),"Yes - 57.7 +/- 2.9 min, real multi-exercise session","Yes (8RM, i.e. ~80% 1RM equivalent)",Not confirmed from inspected content,Yes,"kcal per session and kcal/min (289 +/- 69 kcal, 4.0 kcal/min for heavy load)","Oxycon Pro Jaeger Instrument, Hans Rudolph mask, 30-second sampling, O2 x 5kcal",Yes - named device confirmed,"Yes - real 12-exercise session, ~58 minutes",SILVER,"TOP PRIORITY for outreach - request individual-level raw data from corresponding author. Closes 3 gaps at once: women (gap A), multi-exercise sessions (gap G), realistic longer duration (gap H).","Real named indirect-calorimetry device, documented protocol, genuine multi-exercise session at a realistic duration, 100% women (population V1 entirely lacks). Not GOLD only because participant-level data is not currently in hand - it exists but requires a data request, not yet made.","None expected - different country (Norway), different research group than reis-lab (Portugal) or Brunelli"
"Benito et al. 2016 (PLOS ONE, re-confirmed/enriched)","Journal supplement (already logged in V1 DATA_PROVENANCE.md, enriched this pass)",https://doi.org/10.1371/journal.pone.0164349,CC BY 4.0,"Paper text is CC BY; individual data is legally blocked, not merely request-gated","29 (15 men, 14 women)",0 currently in hand and permanently unavailable per the paper's own Data Availability Statement,"No - explicitly barred: ""data would always be in possession of the Technical University of Madrid and therefore can not be made public, following Spanish law""",18-28y range stated,Yes - mixed sex (15M/14F),Not individually available,"Yes - 3 protocol variants: Circuit Machine (shoulder press machine, hack squat, seated cable row, leg press, seated chest press, leg curl, biceps curl machine, cable triceps extension), Free Weight (dumbbell shoulder press, barbell squat, barbell row, side split squat, bench press, split squat, barbell biceps curl, lying triceps extension), Combined Exercise (squat/running intervals)",Yes (3 sets of 8 exercises),"Yes (15 reps, 70% of 15RM)",Yes (70% 15RM),"Yes - 64 min including warm-up, real multi-exercise session",Yes (70% of 15RM),Not confirmed from inspected content,Yes,kcal per session (group aggregate only),Jaeger Oxycon Mobile portable metabolic system,Yes - named device confirmed,"Yes - three distinct real multi-exercise protocols, ~64 minutes each",SILVER,"Reference/validation only - individual-level rows are permanently unobtainable, unlike Rustaden's request-gated data. Useful as an independent aggregate cross-check the same way Brunelli's data was used in V1.","Real device, real multi-exercise sessions, mixed-sex, matches several existing ontology exercises (squat/bench press/biceps curl/triceps extension/leg press) - but raw data access is categorically closed by Spanish data-protection law, not just ungranted.","None expected - different country (Spain, Technical University of Madrid), different research group than reis-lab or Rustaden"
Joao et al. 2021 (Frontiers in Sports and Active Living),"Journal article (academic, not Kaggle/HF)",https://doi.org/10.3389/fspor.2021.797604,CC BY,Paper text is CC BY; individual-level data availability not confirmed this pass,"15 (all men, trained)",Not confirmed - no supplementary data file found in inspected content,Not confirmed - no data-availability statement or supplementary file identified this pass,Cohort mean (22.87 +/- 2.61y),100% men,Cohort mean only (83.60 +/- 9.76kg),"Yes - 8 named exercises (chest press, pec deck, squat, lat pulldown, biceps curl, triceps extension, hamstring curl, crunch machine) - 5 of 8 overlap directly with SK OS's existing trained ontology",Yes (2-6 sets depending on condition),Yes (5-15 reps depending on condition),"Yes (60%/75%/90% 1RM, three conditions)","Yes - REALISTIC LONG DURATIONS: 44 min (60%1RM), 61.4 min (75%1RM), 116 min (90%1RM), all real multi-exercise sessions","Yes - three full intensity conditions, not just light/moderate/hard buckets",Not confirmed from inspected content,Yes,"Not fully extracted this pass - VO2/kcal reported per the abstract, exact units need the full-text table","COSMED Fitmate Pro gas analyzer, measured every 2 minutes","Yes - named COSMED device confirmed, same manufacturer family as the existing V1 reis-lab data (COSMED K4b2)",Yes - real 8-exercise sessions at 3 realistic durations up to 116 minutes,SILVER,HIGH PRIORITY for outreach - this is the closest thing found anywhere to directly answering V1's most critical open question (does a high-intensity multi-exercise session's measured cost over 44-116 real minutes match what the model assumes). Request full data/supplementary tables from corresponding author.,"Real named device, trained population (closes gap D), realistic session durations up to 116 minutes (directly relevant to the V1 audit's duration-extrapolation finding), 5 of 8 exercises overlap the existing ontology. Not GOLD only because individual-level/raw data access wasn't confirmed as available this pass - needs a direct request.","Shares co-authors (Tavares, Bocalini) with a previously-logged systematic review (Joao/Rodriguez/Tavares/Reis/Bocalini, Clinical Physiology and Functional Imaging) - same Brazilian exercise-science research network. The review's 'Reis' co-author was NOT independently confirmed as the same V. Reis as reis2017/reis2019 (a very common Portuguese-language surname) - flagged for awareness, not a confirmed leakage risk, since a review paper has no primary-data cohort of its own to overlap with."
Untrained vs. trained dumbbell EE study (MDPI Applied Sciences),Journal article - SOURCE COULD NOT BE DIRECTLY ACCESSED THIS PASS,https://doi.org/10.3390/app11156687,NOT CONFIRMED - MDPI blocked both WebFetch and browser access this session (403),UNRESOLVED - cannot confirm without direct access,"10 (5 untrained, 5 trained) per search-summary text only, not independently verified from the primary source",Unknown,Unknown,Unknown,Unknown,Unknown,"Reportedly bent-over row, deadlift, lunge (dumbbell) - per search summary only",Unknown,Unknown,Unknown,Unknown,Unknown,"Reportedly yes, per search summary","Reportedly yes (METs, EE, RER) per search summary",Unknown,"UNCONFIRMED - search summary speculated 'COSMED equipment would be typical' but this is a guess, not a verified fact, and is explicitly NOT being treated as confirmed","Reportedly yes, device NOT independently confirmed",Reportedly yes (3 exercises per session),UNVERIFIED - deliberately not assigned GOLD/SILVER/AUXILIARY/EXCLUDE,"Follow-up required before any classification - directly relevant to the beginner-vs-trained gap (C/D) if confirmed, but per V2_DATA_QUALITY_RULES.md's hard requirement to verify the original source, this cannot be scored on search-summary text alone.","MDPI's site returned 403 to both automated fetch and browser navigation this session - genuinely could not verify. Logged transparently rather than guessed at, per the explicit instruction not to lower the bar.",Cannot be assessed without verified author/institution information
"Nakagata et al. 2019 (Applied Physiology, Nutrition, and Metabolism)","Journal article - found as an author-archived manuscript DRAFT via a University of Toronto institutional repository, not the publisher's final licensed version",https://cdnsciencepub.com/doi/10.1139/apnm-2018-0882,"UNRESOLVED - this is a pre-publication draft (manuscript ID apnm-2018-0882.R1), not the citable published version. No license statement appears on the draft itself. APNM/Canadian Science Publishing's actual open-access policy for the final version has not been checked.",UNRESOLVED pending license check or direct author permission,"20 (13 men, 7 women)",0 individual rows - aggregate group-by-sex means only (2 sex groups x 4 exercises = 8 aggregate cells),"No - Table 1/2 report group (by sex) means +/- SD only, not per-participant values","Individual range stated (66-80y); group means by sex (men 71.6+/-5.4y, women 69.3+/-3.3y) - not individual","Yes - real mixed sex, 13 men / 7 women","Group mean by sex only (men 63.7+/-7.7kg, women 51.3+/-4.1kg) - NOT individual, same gap as V1's own data","Yes - 4 bodyweight slow-tempo exercises (squat, knee push-up, crunch, heel-raise), NONE overlap with the existing 8-exercise trained ontology","Fixed protocol (3 sets), not individually varying","Fixed protocol (10 reps/set, 3s concentric/3s eccentric), not individually varying","N/A - bodyweight only, no external load","Fixed protocol-level (4 min per exercise: 1min x3 sets + 30s rest x2), not per-row varying","Yes - METs reported directly (2.0-3.8 METs range) instead of %1RM, since bodyweight exercise has no %1RM concept",Yes - reported by exercise x sex group,Yes,kcal/min (aggregate mean+/-SD by exercise x sex group),"Indirect calorimetry, face mask, breath-by-breath, REE measured over 30min rest then during/after exercise","Yes - named device confirmed: Minato Aeromonitor AE-300S (Minato Medical Science, Osaka, Japan), a real, validated calorimeter (cites its own validation studies)","No - 4 exercises tested individually/separately, not as one combined multi-exercise session",SILVER,"HIGH VALUE for outreach - uniquely closes BOTH the women (gap A) AND older-adults (gap B) demographic gaps simultaneously, more directly than any other single candidate found in this whole search. Corresponding author's email is printed directly in the document (takashi.nakagata@gmail.com / tanakaga@juntendo.ac.jp) - a concrete, actionable contact, same as Rustaden/Joao. Even if raw individual data isn't obtainable, the aggregate EE-by-sex numbers for 4 new bodyweight exercises are a useful independent reference the way Vianna/Reis-2011-review were used in V1.","Real named calorimetry device, documented methodology, genuine mixed-sex older-adult population - but data found is aggregate-by-sex only (not individual rows) and this specific copy is an author-archived pre-publication draft with unresolved license status, not the citable licensed publication.","Same author network (Nakagata/Yamada/Naito) as two previously-logged candidates: jscr-36-1290 (Nakagata 2022, CC BY-NC-ND, excluded) and the Descente Sports Science bulletin (40_146.pdf, license unclear). Neither of those ever provided usable training data, so this is not a participant-overlap risk for training purposes - flagged for awareness only, consistent with how the Joao/Tavares/Bocalini network overlap was handled."
"Adeel et al. 2021 + 2022 (Taipei Medical University cluster) — SAME COHORT, see leakage note","Journal articles (Applied Sciences 2021 + IJERPH 2022), both fully open access",https://doi.org/10.3390/app11188773 (2021) and https://doi.org/10.3390/ijerph19042233 (2022),"CC BY 4.0 — explicitly stated in both articles, commercially usable",ALLOWED (CC BY 4.0) — the only new SILVER candidate found with a confirmed commercial-compatible license,"11 analysed (12 recruited, 1 excluded): 5 untrained + 6 trained. NOT 22 — the two papers report the SAME 11 people.",0 individual rows. Both papers report group means +/- SD only. Table 5 (2021) gives 6 aggregate cells: 3 exercises x 2 groups.,No — group-level reporting only in the 2021 paper. The 2022 IJERPH paper's Table 2 appears to list per-participant demographics (age/sex/height/weight/BMI/1RM loads) but NOT per-participant VO2/MET/EE outcomes.,"Group means only (untrained 22.00+/-2.00y, trained 25.83+/-3.66y); inclusion range 20-40y",YES and notably favourable: untrained group is 0 male / 5 female; trained group 4 male / 2 female. 7 of 11 participants are women.,"Group means only (untrained 53.32+/-3.38kg, trained 81.68+/-19.48kg). NOT individual in the 2021 paper.","Yes — 3 dumbbell exercises: shoulder press, deadlift, squat. DEADLIFT is a compound free-weight lift absent from V1's trained set entirely.","Yes — 3 sets of 10 reps, fixed protocol","Yes — 10 reps/set, 1.5s up / 1.5s down cadence, metronome-controlled",Yes — 60% of individually-tested 1RM; group-mean absolute loads given per exercise (e.g. squat 16.00+/-2.74kg untrained vs 32.33+/-3.76kg trained),"Yes — highly detailed: 30s per set, 2min rest between sets, 8min between exercises, 52min30s total session","Yes — 60% 1RM, a single well-defined intensity (no light/moderate/hard variation)","Yes — group means during exercise and rest, per exercise",Yes — as METs (convertible to kcal/min via group-mean body weight),"METs (group mean +/- SD), during-exercise and during-rest reported separately","Indirect calorimetry, breath-by-breath, mask; raw data exported from the analyser to Excel (so individual-level data DOES exist, it is simply not published)","Yes — named device: Cortex Metalyzer 3B (Cortex, Leipzig, Germany)","Yes — 3 exercises within one ~52min session, with realistic set/rest structure",SILVER,"(a) IMMEDIATE: use the aggregate METs as an independent validation reference — it is third-party evidence supporting V1's plausibility cap (see cross-check above). (b) OUTREACH: request individual-level Cortex exports from corresponding author Chih-Wei Peng (cwpeng@tmu.edu.tw). Note their Data Availability Statement says data is 'all available in the article', so a raw-data request may well be declined — but the paper states raw analyser data was exported to Excel, so it demonstrably exists.","Real named calorimetry device, CC BY 4.0, women-majority sample, untrained AND trained groups, compound free-weight exercises including deadlift, realistic multi-exercise session structure with documented sets/reps/load/cadence/rest. Fails GOLD solely because published data is aggregate group means, not participant-level rows.","CRITICAL FINDING — the 2021 Appl Sci paper and the 2022 IJERPH paper are the SAME 11 PARTICIPANTS, not 22. Evidence: identical ClinicalTrials.gov registration (NCT04532905), identical IRB number (N202004023), identical recruitment window (Dec 2020-May 2021), identical n (12 recruited/1 excluded/11 analysed, 5 untrained + 6 trained), identical exercises and device. A third paper by the same group (Appl Sci 11:6687, 'Energy Expenditure during Acute Weight Training Exercises', n=10, bent-over row/deadlift/lunge) is very likely the same trial too — UNVERIFIED, MDPI blocked direct access. Treat the entire Adeel/Peng output as ONE cohort of ~11-12 people. This is the same class of error the reis2017/reis2019 numeric-identity check caught in V1."
